Transaction,Polozky
229,OstatnePolozky
229,PecivoNesl
230,Sladkosti
231,Sladkosti
232,Napoje
232,Napoje
232,PecivoNesl
233,Napoje
233,Napoje
233,PecivoNesl
233,Napoje
234,Napoje
234,Napoje
235,PecivoNesl
204,PecivoNesl
205,Napoje
205,Napoje
190,Napoje
194,PecivoNesl
195,PecivoNesl
195,OstatnePolozky
195,PecivoNesl
196,PecivoNesl
196,Sladkosti
196,Sladkosti
197,Napoje
197,Napoje
197,Napoje
198,Napoje
198,Sladkosti
199,Napoje
200,PecivoNesl
201,OstatnePolozky
201,Napoje
201,OstatnePolozky
202,Napoje
202,Napoje
203,Napoje
204,PecivoNesl
237,PecivoNesl
238,Napoje
238,PecivoNesl
238,Sladkosti
238,OstatnePolozky
239,Sladkosti
240,PecivoNesl
241,OstatnePolozky
241,Napoje
242,Napoje
242,Napoje
242,Sladkosti
243,Sladkosti
243,Sladkosti
243,Napoje
243,Napoje
244,Napoje
244,Sladkosti
244,Napoje
245,Sladkosti
236,OstatnePolozky
237,Napoje
190,OstatnePolozky
190,OstatnePolozky
191,Napoje
191,Napoje
192,OstatnePolozky
192,PecivoNesl
193,Napoje
194,PecivoNesl
271,Napoje
271,Napoje
271,OstatnePolozky
272,OstatnePolozky
274,Napoje
274,OstatnePolozky
274,PecivoNesl
274,OstatnePolozky
275,OstatnePolozky
276,Napoje
276,Napoje
276,OstatnePolozky
277,OstatnePolozky
278,Napoje
278,OstatnePolozky
279,OstatnePolozky
279,Napoje
280,Napoje
280,OstatnePolozky
281,PecivoNesl
281,PecivoNesl
282,PecivoNesl
282,Napoje
282,OstatnePolozky
283,OstatnePolozky
259,OstatnePolozky
260,Napoje
261,Napoje
262,Napoje
262,Napoje
262,OstatnePolozky
263,Napoje
264,Napoje
264,OstatnePolozky
265,Napoje
266,OstatnePolozky
266,PecivoNesl
266,OstatnePolozky
267,Napoje
267,Sladkosti
267,OstatnePolozky
268,Napoje
268,OstatnePolozky
269,PecivoNesl
270,Napoje
270,OstatnePolozky
271,Napoje
283,Napoje
284,Napoje
284,OstatnePolozky
285,OstatnePolozky
285,OstatnePolozky
285,OstatnePolozky
258,OstatnePolozky
255,Napoje
255,OstatnePolozky
336,Napoje
337,Napoje
337,Napoje
337,Sladkosti
338,OstatnePolozky
338,Napoje
339,Sladkosti
255,Napoje
256,Napoje
256,PecivoNesl
257,PecivoNesl
257,Napoje
257,OstatnePolozky
257,OstatnePolozky
258,Napoje
298,Napoje
298,Napoje
299,PecivoNesl
286,PecivoNesl
286,Napoje
286,Sladkosti
287,Napoje
287,OstatnePolozky
288,PecivoNesl
288,Sladkosti
289,PecivoNesl
290,Napoje
290,Sladkosti
291,Napoje
292,Sladkosti
293,OstatnePolozky
294,Napoje
295,OstatnePolozky
295,OstatnePolozky
295,PecivoNesl
296,OstatnePolozky
296,PecivoNesl
297,OstatnePolozky
297,Napoje
297,Sladkosti
297,PecivoNesl
298,OstatnePolozky
298,Sladkosti
298,OstatnePolozky
300,PecivoNesl
300,OstatnePolozky
300,Sladkosti
300,Napoje
300,Napoje
301,Napoje
301,Napoje
301,Napoje
302,Napoje
302,Napoje
303,Napoje
303,Napoje
303,Sladkosti
303,Napoje
304,OstatnePolozky
304,Napoje
305,OstatnePolozky
306,Napoje
306,Napoje
306,Napoje
306,Napoje
307,OstatnePolozky
308,OstatnePolozky
308,Napoje
309,OstatnePolozky
309,Napoje
310,Napoje
310,PecivoNesl
310,PecivoNesl
311,Sladkosti
311,OstatnePolozky
312,Napoje
312,Napoje
312,Napoje
313,Napoje
329,Napoje
330,Sladkosti
333,Sladkosti
333,Sladkosti
333,Sladkosti
333,Napoje
334,Napoje
334,Sladkosti
335,OstatnePolozky
336,OstatnePolozky
314,Napoje
316,PecivoNesl
317,Sladkosti
317,Napoje
326,OstatnePolozky
327,Napoje
328,Napoje
328,Napoje
331,PecivoNesl
332,Napoje
332,Sladkosti
333,Napoje
318,Napoje
318,OstatnePolozky
318,PecivoNesl
319,Napoje
320,Napoje
324,Napoje
323,Napoje
324,Napoje
325,Napoje
321,Napoje
321,Napoje
322,PecivoNesl
391,Sladkosti
392,Sladkosti
392,OstatnePolozky
392,OstatnePolozky
392,OstatnePolozky
393,Sladkosti
393,OstatnePolozky
394,Napoje
394,OstatnePolozky
394,Napoje
395,OstatnePolozky
396,OstatnePolozky
397,Napoje
397,Napoje
397,OstatnePolozky
399,Napoje
399,Sladkosti
400,Napoje
400,Napoje
401,PecivoNesl
401,OstatnePolozky
401,OstatnePolozky
402,Napoje
402,Napoje
402,Sladkosti
403,Sladkosti
403,OstatnePolozky
403,Sladkosti
404,Sladkosti
404,Sladkosti
407,Sladkosti
407,Napoje
408,PecivoNesl
409,PecivoNesl
410,PecivoNesl
398,Napoje
404,Sladkosti
405,Sladkosti
405,Sladkosti
406,PecivoNesl
406,Sladkosti
410,Napoje
410,Sladkosti
410,Sladkosti
411,Napoje
412,PecivoNesl
412,Sladkosti
413,Napoje
413,Napoje
342,Sladkosti
342,PecivoNesl
343,OstatnePolozky
344,Napoje
344,OstatnePolozky
388,PecivoNesl
388,OstatnePolozky
388,PecivoNesl
388,Napoje
389,Napoje
389,Napoje
390,Napoje
390,OstatnePolozky
391,PecivoNesl
391,Napoje
414,PecivoNesl
415,Sladkosti
416,OstatnePolozky
417,OstatnePolozky
418,Napoje
419,Napoje
419,Sladkosti
419,Napoje
419,Napoje
419,Sladkosti
420,Sladkosti
421,Sladkosti
421,Sladkosti
421,Sladkosti
421,PecivoNesl
421,Napoje
422,Sladkosti
422,Sladkosti
423,Sladkosti
426,Napoje
427,Napoje
428,OstatnePolozky
428,OstatnePolozky
429,Sladkosti
430,Napoje
430,Sladkosti
430,Napoje
430,Sladkosti
431,PecivoNesl
432,Napoje
433,Napoje
435,Napoje
436,Napoje
341,Sladkosti
345,OstatnePolozky
346,OstatnePolozky
346,Napoje
346,Napoje
346,OstatnePolozky
346,OstatnePolozky
346,Napoje
347,Sladkosti
350,OstatnePolozky
350,Napoje
350,OstatnePolozky
360,PecivoNesl
361,OstatnePolozky
363,OstatnePolozky
363,Sladkosti
363,Sladkosti
364,Napoje
365,Napoje
366,PecivoNesl
367,PecivoNesl
367,OstatnePolozky
368,OstatnePolozky
369,OstatnePolozky
370,Napoje
371,Napoje
371,Sladkosti
371,Sladkosti
424,Napoje
425,OstatnePolozky
340,Napoje
340,PecivoNesl
341,Sladkosti
348,PecivoNesl
348,OstatnePolozky
348,Napoje
348,PecivoNesl
349,PecivoNesl
351,OstatnePolozky
352,PecivoNesl
358,OstatnePolozky
359,PecivoNesl
359,OstatnePolozky
360,Napoje
360,Napoje
371,OstatnePolozky
372,PecivoNesl
353,OstatnePolozky
353,OstatnePolozky
353,PecivoNesl
353,Sladkosti
354,OstatnePolozky
354,OstatnePolozky
355,PecivoNesl
355,OstatnePolozky
356,OstatnePolozky
356,PecivoNesl
357,OstatnePolozky
357,Napoje
372,OstatnePolozky
372,Sladkosti
373,Napoje
374,PecivoNesl
375,Napoje
375,OstatnePolozky
375,OstatnePolozky
376,Napoje
376,Napoje
377,Napoje
377,Napoje
377,OstatnePolozky
377,OstatnePolozky
378,OstatnePolozky
378,PecivoNesl
379,OstatnePolozky
379,Sladkosti
385,Sladkosti
385,Sladkosti
386,Napoje
387,Napoje
387,OstatnePolozky
375,Napoje
380,OstatnePolozky
380,Napoje
380,Napoje
381,PecivoNesl
381,Sladkosti
382,Napoje
382,Napoje
382,PecivoNesl
382,OstatnePolozky
382,Sladkosti
382,PecivoNesl
382,OstatnePolozky
383,Napoje
384,Napoje
384,PecivoNesl
384,Sladkosti
469,Napoje
471,Napoje
473,PecivoNesl
476,OstatnePolozky
470,Napoje
471,Napoje
469,Napoje
476,Napoje
476,Sladkosti
473,Napoje
477,Napoje
464,PecivoNesl
465,Sladkosti
466,PecivoNesl
466,Napoje
474,PecivoNesl
474,PecivoNesl
478,Napoje
478,Sladkosti
479,Napoje
479,Napoje
462,Napoje
482,PecivoNesl
482,Napoje
482,Sladkosti
482,Sladkosti
467,PecivoNesl
468,Napoje
485,Napoje
485,Sladkosti
475,PecivoNesl
475,Sladkosti
452,PecivoNesl
453,Napoje
453,PecivoNesl
479,Napoje
456,OstatnePolozky
457,Napoje
479,OstatnePolozky
462,Sladkosti
462,Sladkosti
463,Napoje
515,PecivoNesl
515,OstatnePolozky
486,OstatnePolozky
486,PecivoNesl
487,Napoje
487,PecivoNesl
487,Napoje
454,PecivoNesl
454,OstatnePolozky
457,Napoje
479,OstatnePolozky
459,OstatnePolozky
459,Sladkosti
460,OstatnePolozky
482,Napoje
484,OstatnePolozky
516,Napoje
517,Napoje
517,Sladkosti
517,Napoje
487,Napoje
488,Napoje
455,PecivoNesl
455,Napoje
455,Napoje
458,PecivoNesl
480,Sladkosti
480,Napoje
461,Napoje
462,Napoje
482,OstatnePolozky
482,OstatnePolozky
483,PecivoNesl
484,OstatnePolozky
451,PecivoNesl
451,OstatnePolozky
452,OstatnePolozky
456,Napoje
481,Sladkosti
481,Napoje
482,Napoje
519,Napoje
519,Napoje
519,Sladkosti
519,Sladkosti
520,Sladkosti
521,OstatnePolozky
522,Sladkosti
523,Sladkosti
523,OstatnePolozky
518,PecivoNesl
450,Sladkosti
518,Sladkosti
518,Sladkosti
440,PecivoNesl
448,PecivoNesl
449,Napoje
450,PecivoNesl
513,Napoje
513,PecivoNesl
513,Sladkosti
522,Napoje
441,Napoje
514,Sladkosti
515,Sladkosti
441,OstatnePolozky
442,Sladkosti
442,Napoje
443,PecivoNesl
445,OstatnePolozky
446,PecivoNesl
446,Napoje
447,Napoje
447,Napoje
444,Sladkosti
444,OstatnePolozky
444,Sladkosti
445,Napoje
445,Napoje
437,Sladkosti
438,PecivoNesl
438,Napoje
438,OstatnePolozky
439,OstatnePolozky
488,Napoje
488,PecivoNesl
488,Sladkosti
489,PecivoNesl
489,OstatnePolozky
489,OstatnePolozky
489,OstatnePolozky
489,PecivoNesl
502,Napoje
503,Napoje
503,Napoje
503,Napoje
503,Sladkosti
503,OstatnePolozky
504,Napoje
504,Sladkosti
505,Sladkosti
506,Sladkosti
506,Napoje
506,Napoje
507,Napoje
507,Napoje
507,Sladkosti
507,Sladkosti
508,Napoje
508,PecivoNesl
509,PecivoNesl
509,Napoje
510,Napoje
510,PecivoNesl
511,PecivoNesl
512,Napoje
512,Sladkosti
512,Sladkosti
490,OstatnePolozky
490,OstatnePolozky
490,Napoje
490,Napoje
491,PecivoNesl
491,OstatnePolozky
491,Napoje
491,Napoje
492,Napoje
492,OstatnePolozky
492,PecivoNesl
492,Sladkosti
493,Napoje
493,Sladkosti
494,Sladkosti
494,Napoje
494,OstatnePolozky
495,OstatnePolozky
495,Napoje
497,Napoje
497,Napoje
498,Napoje
498,OstatnePolozky
498,Napoje
498,Napoje
499,Napoje
499,Sladkosti
500,PecivoNesl
500,Napoje
501,PecivoNesl
501,Napoje
502,Napoje
642,PecivoNesl
575,Napoje
639,Napoje
639,Sladkosti
625,Napoje
625,Sladkosti
626,PecivoNesl
626,OstatnePolozky
638,Sladkosti
622,Sladkosti
640,Napoje
640,Napoje
574,OstatnePolozky
629,Napoje
575,Sladkosti
576,PecivoNesl
626,Napoje
622,Napoje
623,OstatnePolozky
623,Napoje
621,Sladkosti
638,PecivoNesl
624,Napoje
625,OstatnePolozky
640,Sladkosti
641,OstatnePolozky
587,Sladkosti
642,OstatnePolozky
626,Napoje
626,Sladkosti
638,Napoje
573,OstatnePolozky
629,Napoje
629,Sladkosti
629,Sladkosti
576,Sladkosti
576,Sladkosti
577,OstatnePolozky
627,OstatnePolozky
627,PecivoNesl
620,Napoje
637,Napoje
622,Napoje
578,Sladkosti
628,Napoje
524,PecivoNesl
630,OstatnePolozky
631,Napoje
632,Sladkosti
577,OstatnePolozky
577,Napoje
577,Napoje
635,Napoje
578,PecivoNesl
635,Sladkosti
636,Napoje
620,Napoje
620,Sladkosti
637,PecivoNesl
637,Sladkosti
588,Napoje
588,Napoje
628,Napoje
572,Napoje
572,OstatnePolozky
524,PecivoNesl
524,OstatnePolozky
633,Sladkosti
634,Napoje
635,Napoje
577,Sladkosti
635,Napoje
635,PecivoNesl
618,Napoje
636,PecivoNesl
636,Sladkosti
583,OstatnePolozky
583,OstatnePolozky
583,Napoje
583,Napoje
643,OstatnePolozky
628,Napoje
635,Napoje
620,Napoje
581,OstatnePolozky
602,OstatnePolozky
602,Napoje
602,Sladkosti
603,OstatnePolozky
583,Sladkosti
584,Napoje
585,PecivoNesl
586,Sladkosti
586,Sladkosti
586,PecivoNesl
643,PecivoNesl
608,Napoje
609,Napoje
609,OstatnePolozky
610,OstatnePolozky
610,Napoje
611,PecivoNesl
612,OstatnePolozky
612,Napoje
612,Napoje
579,OstatnePolozky
579,OstatnePolozky
580,Napoje
587,Napoje
643,OstatnePolozky
644,Napoje
590,PecivoNesl
591,OstatnePolozky
592,Napoje
592,Napoje
592,Sladkosti
592,Sladkosti
593,OstatnePolozky
578,Napoje
603,Napoje
603,Napoje
604,PecivoNesl
605,PecivoNesl
605,OstatnePolozky
606,PecivoNesl
608,OstatnePolozky
608,OstatnePolozky
608,Napoje
618,OstatnePolozky
524,OstatnePolozky
524,OstatnePolozky
526,Sladkosti
528,PecivoNesl
528,Sladkosti
529,PecivoNesl
529,Napoje
529,Sladkosti
529,OstatnePolozky
530,OstatnePolozky
530,Napoje
530,Sladkosti
531,PecivoNesl
531,Napoje
644,Sladkosti
645,Napoje
646,Napoje
646,Sladkosti
647,Sladkosti
647,OstatnePolozky
593,Sladkosti
594,OstatnePolozky
524,Napoje
525,PecivoNesl
525,OstatnePolozky
526,Napoje
617,Napoje
526,Sladkosti
527,PecivoNesl
616,PecivoNesl
616,Napoje
526,Napoje
526,OstatnePolozky
570,Napoje
570,OstatnePolozky
571,Napoje
617,Sladkosti
617,Sladkosti
589,Napoje
589,Napoje
594,Napoje
597,PecivoNesl
597,Sladkosti
598,OstatnePolozky
599,PecivoNesl
600,PecivoNesl
601,OstatnePolozky
602,Sladkosti
594,Napoje
594,Napoje
594,OstatnePolozky
595,Sladkosti
596,OstatnePolozky
596,Napoje
613,PecivoNesl
615,PecivoNesl
615,Napoje
616,OstatnePolozky
616,Napoje
531,OstatnePolozky
532,PecivoNesl
595,Napoje
595,OstatnePolozky
595,Sladkosti
559,Sladkosti
560,PecivoNesl
560,OstatnePolozky
562,Napoje
562,Napoje
563,Napoje
563,Sladkosti
564,OstatnePolozky
564,PecivoNesl
564,Sladkosti
565,PecivoNesl
565,Napoje
565,PecivoNesl
566,OstatnePolozky
566,Napoje
566,Napoje
566,Napoje
567,PecivoNesl
568,Sladkosti
568,Napoje
569,Sladkosti
569,Napoje
569,Sladkosti
533,Napoje
533,Sladkosti
534,Napoje
534,Napoje
534,PecivoNesl
535,PecivoNesl
536,PecivoNesl
537,OstatnePolozky
537,OstatnePolozky
537,Sladkosti
537,Napoje
537,Napoje
538,Napoje
539,Sladkosti
539,Napoje
558,Sladkosti
558,Sladkosti
559,Napoje
540,PecivoNesl
541,PecivoNesl
544,OstatnePolozky
544,PecivoNesl
545,Napoje
545,PecivoNesl
545,Sladkosti
546,Sladkosti
546,OstatnePolozky
557,Napoje
557,Sladkosti
557,Sladkosti
558,Sladkosti
541,PecivoNesl
541,Sladkosti
542,Napoje
542,Napoje
542,Sladkosti
543,PecivoNesl
544,OstatnePolozky
547,Napoje
547,Napoje
547,Napoje
547,OstatnePolozky
548,PecivoNesl
549,PecivoNesl
550,Napoje
550,PecivoNesl
550,Napoje
550,Sladkosti
550,Sladkosti
551,Napoje
551,Napoje
551,Sladkosti
552,PecivoNesl
552,OstatnePolozky
553,PecivoNesl
553,Sladkosti
554,Sladkosti
554,OstatnePolozky
555,PecivoNesl
555,Sladkosti
556,Sladkosti
556,Sladkosti
556,Napoje
556,Napoje
556,Napoje
557,PecivoNesl
557,Napoje
648,PecivoNesl
650,Napoje
650,OstatnePolozky
650,PecivoNesl
651,OstatnePolozky
651,Napoje
651,Napoje
652,OstatnePolozky
652,PecivoNesl
652,Napoje
653,PecivoNesl
654,PecivoNesl
655,OstatnePolozky
655,Napoje
655,Napoje
655,PecivoNesl
656,OstatnePolozky
656,Napoje
656,Napoje
656,OstatnePolozky
657,OstatnePolozky
657,Sladkosti
657,Napoje
657,Napoje
657,OstatnePolozky
657,OstatnePolozky
658,PecivoNesl
658,OstatnePolozky
658,Napoje
658,OstatnePolozky
659,OstatnePolozky
660,Napoje
660,Napoje
660,OstatnePolozky
660,Sladkosti
661,OstatnePolozky
661,Sladkosti
661,Napoje
662,Napoje
662,Napoje
662,OstatnePolozky
662,OstatnePolozky
663,OstatnePolozky
663,OstatnePolozky
664,Napoje
664,Napoje
664,Sladkosti
665,OstatnePolozky
665,Sladkosti
665,Sladkosti
666,OstatnePolozky
667,Sladkosti
667,OstatnePolozky
667,OstatnePolozky
668,Napoje
668,Napoje
669,PecivoNesl
670,OstatnePolozky
671,Napoje
671,Napoje
671,OstatnePolozky
671,OstatnePolozky
672,PecivoNesl
673,Napoje
673,OstatnePolozky
673,PecivoNesl
674,Napoje
674,OstatnePolozky
675,Napoje
675,Napoje
675,Napoje
676,Napoje
676,Napoje
677,Napoje
678,OstatnePolozky
709,Sladkosti
678,OstatnePolozky
678,Napoje
678,Napoje
680,Sladkosti
681,PecivoNesl
682,PecivoNesl
683,PecivoNesl
684,OstatnePolozky
684,Sladkosti
684,Napoje
684,Napoje
685,Sladkosti
685,OstatnePolozky
686,PecivoNesl
687,PecivoNesl
688,OstatnePolozky
689,Napoje
689,Sladkosti
690,OstatnePolozky
691,PecivoNesl
691,Napoje
692,Napoje
692,Napoje
693,Napoje
693,OstatnePolozky
693,Napoje
693,Sladkosti
693,OstatnePolozky
695,OstatnePolozky
696,OstatnePolozky
697,PecivoNesl
697,Napoje
698,Napoje
698,Napoje
698,Napoje
698,Napoje
698,OstatnePolozky
698,Sladkosti
699,PecivoNesl
699,Napoje
699,Napoje
700,Napoje
700,Napoje
700,Sladkosti
701,OstatnePolozky
702,OstatnePolozky
703,Sladkosti
703,Sladkosti
703,Napoje
703,Napoje
704,OstatnePolozky
704,Napoje
705,Napoje
705,Napoje
705,Sladkosti
706,Napoje
707,Napoje
707,Napoje
708,OstatnePolozky
708,Sladkosti
708,Napoje
709,PecivoNesl
709,Napoje
710,OstatnePolozky
710,Napoje
711,Napoje
711,Sladkosti
712,Napoje
712,Napoje
712,Napoje
712,OstatnePolozky
713,OstatnePolozky
714,Napoje
714,Sladkosti
715,Sladkosti
715,Napoje
715,Sladkosti
716,Napoje
716,Napoje
716,Sladkosti
717,Sladkosti
718,Sladkosti
718,Napoje
719,Sladkosti
719,Sladkosti
719,Napoje
720,PecivoNesl
721,OstatnePolozky
721,Napoje
721,OstatnePolozky
722,OstatnePolozky
722,Napoje
723,PecivoNesl
723,OstatnePolozky
724,Sladkosti
724,OstatnePolozky
724,Napoje
725,OstatnePolozky
725,PecivoNesl
726,OstatnePolozky
726,PecivoNesl
727,Napoje
727,Napoje
727,Sladkosti
727,Sladkosti
728,Sladkosti
728,Sladkosti
728,Napoje
729,Napoje
729,Sladkosti
730,Sladkosti
730,OstatnePolozky
732,Sladkosti
733,OstatnePolozky
733,Napoje
733,Sladkosti
733,OstatnePolozky
734,Napoje
734,PecivoNesl
735,OstatnePolozky
735,Napoje
736,Sladkosti
736,Sladkosti
736,Napoje
737,Sladkosti
738,OstatnePolozky
738,Sladkosti
814,Sladkosti
